County,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
"Apache County, Arizona",13791,184,46509,307,18,115,1236,3861
"Cochise County, Arizona",68256,4371,762,2587,421,725,5710,42615
"Coconino County, Arizona",76904,1777,35143,2582,254,616,6106,21719
"Gila County, Arizona",32757,239,8655,427,45,203,1663,9283
"Graham County, Arizona",20398,453,5143,169,16,102,824,11428
"Greenlee County, Arizona",4446,80,275,68,1,34,283,4376
"La Paz County, Arizona",9061,102,2354,111,41,43,648,4197
"Maricopa County, Arizona",2357571,245239,68353,197910,9579,20693,169808,1351415
"Mohave County, Arizona",160165,2063,4053,2600,365,690,9205,34126
"Navajo County, Arizona",44786,674,46572,548,68,232,2950,10887
"Pima County, Arizona",536868,36254,23670,29844,1937,4657,37415,372788
"Pinal County, Arizona",240006,20712,17156,6290,1081,1658,16828,121533
"Santa Cruz County, Arizona",7119,114,78,271,13,150,292,39632
"Yavapai County, Arizona",183296,1415,3319,2802,269,1071,9647,34390
"Yuma County, Arizona",61123,3484,1888,2321,215,622,4225,130003
"Nevada County, Arkansas",5145,2433,37,41,0,16,284,354
"Nevada County, California",82810,416,695,1371,119,617,5797,10416
"Alachua County, Florida",160463,51171,562,17891,101,1668,12998,33614
"Baker County, Florida",22185,3825,109,157,14,84,912,973
"Bay County, Florida",128348,17549,795,4068,194,720,9696,13846
"Bradford County, Florida",20320,5427,58,135,12,97,904,1350
"Brevard County, Florida",430936,56498,1569,15587,482,3389,30244,67907
"Broward County, Florida",644230,517618,2917,74040,696,21389,74782,608703
"Calhoun County, Florida",10490,1668,93,46,0,10,719,622
"Charlotte County, Florida",153700,8870,385,2566,63,782,6402,14079
"Citrus County, Florida",131477,3891,466,2412,43,517,5796,9241
"Clay County, Florida",148986,25621,680,6626,363,1064,11771,23134
"Collier County, Florida",235455,22554,551,5419,61,1502,7961,102249
"Columbia County, Florida",49096,11441,236,867,27,295,2673,5063
"DeSoto County, Florida",18624,4203,80,189,8,80,781,10011
"Dixie County, Florida",13750,1551,61,58,0,33,618,688
"Duval County, Florida",492039,286344,2306,48652,960,6837,45740,112689
"Escambia County, Florida",200962,68148,1998,9866,410,1771,17957,20793
"Flagler County, Florida",84291,10537,291,2450,59,704,4747,12299
"Franklin County, Florida",9798,1403,41,30,2,41,461,675
"Gadsden County, Florida",14093,23326,71,147,4,120,972,5093
"Gilchrist County, Florida",14827,788,62,56,2,45,736,1348
"Glades County, Florida",7132,1434,193,34,0,45,238,3050
"Gulf County, Florida",11222,1692,66,57,0,34,566,555
"Hamilton County, Florida",7633,4422,43,43,0,26,382,1455
"Hardee County, Florida",11873,2111,55,165,3,35,481,10604
"Hendry County, Florida",12089,4195,155,339,4,120,605,22112
"Hernando County, Florida",144060,9507,553,2566,86,868,7830,29045
"Highlands County, Florida",65511,9484,291,1602,49,307,3048,20943
"Hillsborough County, Florida",667791,224479,2817,69928,914,9655,56797,427381
"Holmes County, Florida",16766,1211,120,81,13,27,747,688
"Indian River County, Florida",117422,13079,273,2341,52,730,5059,20832
"Jackson County, Florida",30629,12042,196,292,18,144,1783,2215
"Jefferson County, Florida",8720,4600,36,34,3,54,405,658
"Lafayette County, Florida",6074,1024,16,10,1,18,145,938
"Lake County, Florida",253214,37883,1016,8362,317,2916,14873,65375
"Lee County, Florida",490476,55958,1228,12789,244,3974,22992,173161
"Leon County, Florida",157458,87503,631,10465,155,1261,11811,22914
"Levy County, Florida",32874,3597,122,292,11,170,1769,4080
"Liberty County, Florida",5729,1353,52,18,1,26,233,562
"Madison County, Florida",10132,6281,53,45,0,63,513,881
"Manatee County, Florida",273101,31147,779,8433,246,1583,13442,70979
"Marion County, Florida",253837,42795,986,5973,148,1747,14512,55910
"Martin County, Florida",119216,7277,218,2246,42,525,4720,24187
"Miami-Dade County, Florida",361517,378756,1589,41672,385,14667,46243,1856938
"Monroe County, Florida",54731,4517,169,1137,61,407,2420,19432
"Nassau County, Florida",75817,4945,222,863,52,293,3711,4449
"Okaloosa County, Florida",146271,18896,799,6578,448,1206,14892,22578
"Okeechobee County, Florida",24671,3318,263,332,14,146,1043,9857
"Orange County, Florida",531362,263624,2207,76870,1114,16015,65691,473025
"Osceola County, Florida",113362,35145,562,11370,240,4218,12670,211089
"Palm Beach County, Florida",779759,255724,1536,43356,494,10766,50623,349933
"Pasco County, Florida",392375,31601,1388,16408,308,2771,23883,93157
"Pinellas County, Florida",684463,91431,1942,33700,797,4835,39500,102439
"Polk County, Florida",392621,100950,1623,13181,300,3684,24992,187695
"Putnam County, Florida",50541,11274,280,469,37,248,2656,7816
"St. Johns County, Florida",214428,12940,544,9764,151,1225,11766,22607
"St. Lucie County, Florida",176533,64597,568,5678,141,2470,12919,66320
"Santa Rosa County, Florida",147518,10690,1112,3818,362,847,11763,11890
"Sarasota County, Florida",349700,16165,695,8407,168,1902,13733,43236
"Seminole County, Florida",264072,50276,765,25164,243,2975,20822,106539
"Sumter County, Florida",109213,8313,311,1238,31,320,2743,7583
"Suwannee County, Florida",31664,4920,167,270,16,143,1509,4785
"Taylor County, Florida",15629,4196,102,224,0,45,734,866
"Union County, Florida",11585,3197,42,35,0,62,462,764
"Volusia County, Florida",379527,55338,1262,10478,266,2692,21328,82652
"Wakulla County, Florida",25987,4202,154,198,19,126,1501,1577
"Walton County, Florida",60644,3294,415,907,38,307,3513,6187
"Washington County, Florida",19484,3236,222,132,28,87,1205,924
"Appling County, Georgia",12674,3339,33,123,1,32,417,1825
"Atkinson County, Georgia",4801,1208,30,12,4,16,167,2048
"Bacon County, Georgia",8103,1747,4,40,4,32,335,875
"Baker County, Georgia",1514,1128,1,18,0,2,70,143
"Baldwin County, Georgia",22432,18318,64,599,27,193,1027,1139
"Banks County, Georgia",15578,394,54,189,8,28,620,1164
"Barrow County, Georgia",55582,10141,130,3233,17,459,3383,10560
"Bartow County, Georgia",80159,11309,254,1169,40,466,4753,10751
"Ben Hill County, Georgia",9219,6222,57,116,0,48,478,1054
"Berrien County, Georgia",14396,1934,22,80,10,62,611,1045
"Bibb County, Georgia",56787,85234,281,3209,42,602,4454,6737
"Bleckley County, Georgia",8867,2788,11,153,8,30,257,469
"Brantley County, Georgia",16317,562,45,42,3,34,692,326
"Brooks County, Georgia",9066,5684,24,67,6,42,457,955
"Bryan County, Georgia",31321,6330,102,1032,53,184,2447,3269
"Bulloch County, Georgia",49712,22775,159,1283,62,249,2679,4180
"Burke County, Georgia",11941,10957,45,97,10,66,703,777
"Butts County, Georgia",16628,6808,39,102,9,164,881,803
"Calhoun County, Georgia",1766,3569,8,19,0,1,61,149
"Camden County, Georgia",37203,9497,185,845,66,325,2989,3658
"Candler County, Georgia",6567,2681,19,63,3,26,244,1378
"Carroll County, Georgia",80725,21781,271,1104,21,505,5155,9586
"Catoosa County, Georgia",59280,1808,181,1025,84,133,3020,2341
"Charlton County, Georgia",7532,2386,40,109,2,30,383,2036
"Chatham County, Georgia",139433,108011,619,10620,408,1447,10963,23790
"Chattahoochee County, Georgia",5403,1463,35,304,104,55,591,1610
"Chattooga County, Georgia",20079,2391,45,102,0,81,970,1297
"Cherokee County, Georgia",197867,17326,502,5429,100,1544,11741,32111
"Clarke County, Georgia",72201,31367,297,4920,66,980,4504,14336
"Clay County, Georgia",1143,1593,1,6,0,7,57,41
"Clayton County, Georgia",25902,205301,601,13491,119,1800,7835,42546
"Clinch County, Georgia",4256,1950,30,22,7,31,200,253
"Cobb County, Georgia",369182,200072,1289,42533,293,7382,34158,111240
"Coffee County, Georgia",24158,11872,62,299,14,69,1188,5430
"Colquitt County, Georgia",25588,9995,83,388,15,106,1014,8709
"Columbia County, Georgia",99111,27621,354,7102,271,897,8796,11858
"Cook County, Georgia",10658,4753,29,100,4,51,500,1134
"Coweta County, Georgia",99421,25544,298,3329,62,669,5782,11053
"Crawford County, Georgia",8866,2267,45,31,3,44,459,415
"Crisp County, Georgia",9892,8821,18,180,4,64,515,634
"Dade County, Georgia",14786,141,68,129,5,31,727,364
"Dawson County, Georgia",23544,200,63,235,14,94,1043,1605
"Decatur County, Georgia",14280,12200,64,183,16,64,649,1911
"DeKalb County, Georgia",215895,384438,1161,50076,202,4719,26420,81471
"Dodge County, Georgia",12865,5847,21,95,8,42,427,620
"Dooly County, Georgia",4611,5540,17,51,2,14,176,797
"Dougherty County, Georgia",20631,59720,128,647,20,234,1997,2413
"Douglas County, Georgia",49877,68763,335,2313,97,1072,5745,16035
"Early County, Georgia",4813,5534,31,47,0,11,232,186
"Echols County, Georgia",2328,147,37,8,0,2,84,1091
"Effingham County, Georgia",48204,8747,181,677,28,269,3171,3492
"Elbert County, Georgia",12610,5253,26,182,3,53,514,996
"Emanuel County, Georgia",13815,7246,33,141,2,40,498,993
"Evans County, Georgia",6038,3083,15,78,11,21,291,1237
"Fannin County, Georgia",23351,85,85,113,3,55,874,753
"Fayette County, Georgia",68144,29166,212,6362,44,848,4938,9480
"Floyd County, Georgia",67747,13940,191,1287,24,371,3558,11466
"Forsyth County, Georgia",159407,10455,456,45117,85,1255,9282,25226
"Franklin County, Georgia",19262,1888,34,261,3,79,776,1121
"Fulton County, Georgia",404793,448803,1558,80632,381,6444,37797,86302
"Gilmer County, Georgia",26365,127,62,131,0,82,987,3599
"Glascock County, Georgia",2573,196,0,7,2,0,54,52
"Glynn County, Georgia",52987,20469,175,1175,92,352,2913,6336
"Gordon County, Georgia",43317,2075,122,719,15,123,2216,8957
"Grady County, Georgia",14715,7285,89,110,6,86,672,3273
"Greene County, Georgia",11126,5783,28,174,2,58,455,1289
"Gwinnett County, Georgia",310583,257124,1532,126526,387,6489,33961,220460
"Habersham County, Georgia",34694,1722,83,990,35,109,1518,6880
"Hall County, Georgia",120418,14256,341,4198,85,708,6120,57010
"Hancock County, Georgia",2413,6025,23,37,1,10,163,63
"Haralson County, Georgia",26825,1253,56,186,9,87,1006,497
"Harris County, Georgia",25925,5170,101,388,21,138,1508,1417
"Hart County, Georgia",19250,4324,36,335,2,86,864,931
"Heard County, Georgia",9589,930,33,53,4,29,521,253
"Henry County, Georgia",86297,116431,427,7976,119,1650,9375,18437
"Houston County, Georgia",86211,51992,339,4905,124,703,7552,11807
"Irwin County, Georgia",6402,2224,15,119,1,24,218,663
"Jackson County, Georgia",59064,5136,127,1744,30,294,2800,6712
"Jasper County, Georgia",10771,2442,34,22,1,62,572,684
"Jeff Davis County, Georgia",9950,2293,26,50,7,33,373,2047
"Jefferson County, Georgia",6834,7970,21,70,0,25,327,462
"Jenkins County, Georgia",4611,3536,29,12,5,30,148,303
"Johnson County, Georgia",5800,3017,23,28,15,14,175,117
"Jones County, Georgia",20074,6739,46,138,7,73,794,476
"Lamar County, Georgia",12344,4888,13,102,4,48,626,475
"Lanier County, Georgia",6595,2138,31,81,14,33,413,572
"Laurens County, Georgia",27881,18219,80,507,14,141,1304,1424
"Lee County, Georgia",22758,7331,57,850,9,98,1107,953
"Liberty County, Georgia",24004,27309,225,1325,437,322,3848,7786
"Lincoln County, Georgia",5196,2116,18,20,3,10,235,92
"Long County, Georgia",8774,4028,62,164,88,91,982,1979
"Lowndes County, Georgia",59306,43946,312,1908,100,450,4357,7872
"Lumpkin County, Georgia",29241,412,151,257,21,118,1498,1790
"McDuffie County, Georgia",11417,8644,45,76,13,37,610,790
"McIntosh County, Georgia",7060,3176,32,43,0,35,398,231
"Macon County, Georgia",4078,7150,15,156,7,20,184,472
"Madison County, Georgia",23549,2753,44,521,4,106,1187,1956
"Marion County, Georgia",4486,2122,12,55,15,11,237,560
"Meriwether County, Georgia",12084,7273,64,78,6,50,583,475
"Miller County, Georgia",3949,1748,9,26,1,5,126,136
"Mitchell County, Georgia",10106,10054,37,108,0,41,445,964
"Monroe County, Georgia",19954,6084,34,239,0,86,846,714
"Montgomery County, Georgia",5665,2120,11,34,0,13,196,571
"Morgan County, Georgia",14487,4105,42,122,1,68,560,712
"Murray County, Georgia",32164,263,79,127,2,58,1366,5914
"Muscogee County, Georgia",79083,94701,488,5546,517,1076,8998,16513
"Newton County, Georgia",46746,52246,175,1044,114,734,4260,7164
"Oconee County, Georgia",33886,1897,31,2066,0,171,1401,2347
"Oglethorpe County, Georgia",10903,2248,40,134,5,53,573,869
"Paulding County, Georgia",108444,36609,394,1926,114,1068,7542,12564
"Peach County, Georgia",12119,12139,63,194,6,98,815,2547
"Pickens County, Georgia",30122,286,85,191,4,70,1260,1198
"Pierce County, Georgia",16403,1597,41,82,0,45,550,998
"Pike County, Georgia",16313,1445,28,77,0,62,616,348
"Polk County, Georgia",30161,5119,101,239,21,156,1471,5585
"Pulaski County, Georgia",6022,3161,8,92,3,48,194,327
"Putnam County, Georgia",14316,5385,33,108,1,40,607,1557
"Quitman County, Georgia",1190,917,13,12,0,9,63,31
"Rabun County, Georgia",14625,107,28,60,1,35,575,1452
"Randolph County, Georgia",2250,3862,9,21,3,23,114,143
"Richmond County, Georgia",68397,112947,511,3907,391,905,8100,11449
"Rockdale County, Georgia",24500,53785,168,1532,72,617,3356,9540
"Schley County, Georgia",3357,863,4,20,2,7,119,175
"Screven County, Georgia",8018,5285,39,61,3,31,343,287
"Seminole County, Georgia",5617,2961,6,61,0,25,249,228
"Spalding County, Georgia",37105,23148,154,640,23,247,2323,3666
"Stephens County, Georgia",21323,2936,73,225,9,76,1285,857
"Stewart County, Georgia",1338,2461,10,167,5,8,108,1217
"Sumter County, Georgia",11528,15051,40,503,4,55,665,1770
"Talbot County, Georgia",2427,3056,5,17,1,6,109,112
"Taliaferro County, Georgia",591,833,4,6,0,2,54,69
"Tattnall County, Georgia",13825,5961,36,127,6,46,538,2303
"Taylor County, Georgia",4584,2807,27,29,2,19,180,168
"Telfair County, Georgia",5970,4326,28,30,0,17,178,1928
"Terrell County, Georgia",3189,5540,11,57,1,11,199,177
"Thomas County, Georgia",25994,16259,150,406,9,124,1279,1577
"Tift County, Georgia",22189,12049,56,650,2,91,1088,5219
"Toombs County, Georgia",16007,6980,31,207,6,79,676,3044
"Towns County, Georgia",11469,124,28,81,3,35,338,415
"Treutlen County, Georgia",4065,1999,19,7,0,7,139,170
"Troup County, Georgia",38099,24157,127,1608,36,239,2204,2956
"Turner County, Georgia",4700,3644,7,49,0,25,209,372
"Twiggs County, Georgia",4487,3099,16,37,0,18,241,124
"Union County, Georgia",22646,126,74,100,0,63,807,816
"Upson County, Georgia",18009,7851,63,151,1,106,886,633
"Walker County, Georgia",59654,2840,149,293,25,204,2804,1685
"Walton County, Georgia",68499,17136,188,1409,44,552,3617,5228
"Ware County, Georgia",22275,10703,77,333,18,112,1121,1612
"Warren County, Georgia",1974,3047,18,15,1,10,97,53
"Washington County, Georgia",8412,10698,37,76,0,30,401,334
"Wayne County, Georgia",21301,5877,58,174,2,130,870,1732
"Webster County, Georgia",1136,1063,0,12,6,3,69,59
"Wheeler County, Georgia",4157,2875,9,17,0,6,135,272
"White County, Georgia",24959,467,105,159,0,116,1284,913
"Whitfield County, Georgia",57875,3553,182,1394,19,304,2621,36916
"Wilcox County, Georgia",5185,3096,3,49,3,9,149,272
"Wilkes County, Georgia",4952,3838,22,59,0,18,277,399
"Wilkinson County, Georgia",5110,3163,30,22,3,13,297,239
"Worth County, Georgia",14427,5255,49,87,8,53,524,381
"Ohio County, Indiana",5629,16,4,29,0,16,167,79
"Ohio County, Kentucky",21872,155,26,45,2,54,625,993
"Alcona County, Michigan",9593,23,57,14,1,27,330,122
"Alger County, Michigan",7323,585,327,22,1,25,444,115
"Allegan County, Michigan",103088,1446,561,839,20,433,4726,9389
"Alpena County, Michigan",27006,99,120,112,12,67,1074,417
"Antrim County, Michigan",21743,39,192,70,18,55,855,459
"Arenac County, Michigan",13919,35,126,38,1,25,588,270
"Baraga County, Michigan",5753,598,1083,15,3,22,582,102
"Barry County, Michigan",56779,295,221,245,15,198,2528,2142
"Bay County, Michigan",90811,1598,359,538,0,257,4363,5930
"Benzie County, Michigan",16597,56,164,71,0,65,626,391
"Berrien County, Michigan",111603,21199,740,3159,109,668,7628,9210
"Branch County, Michigan",39025,1124,132,266,10,135,1587,2583
"Calhoun County, Michigan",100385,14275,683,3715,29,553,7244,7426
"Cass County, Michigan",43309,2272,521,316,11,218,2781,2161
"Charlevoix County, Michigan",23881,74,367,122,10,114,1061,425
"Cheboygan County, Michigan",22872,89,687,85,1,65,1439,341
"Chippewa County, Michigan",24544,2611,5601,193,12,87,2980,757
"Clare County, Michigan",28628,140,181,72,0,88,1126,621
"Clinton County, Michigan",67915,1640,234,1870,23,241,3265,3940
"Crawford County, Michigan",12026,57,83,55,4,29,442,292
"Delta County, Michigan",33441,93,818,153,8,82,1765,543
"Dickinson County, Michigan",24198,61,117,147,4,43,937,440
"Eaton County, Michigan",87200,7463,307,2444,13,346,4875,6527
"Emmet County, Michigan",30359,159,1074,173,22,97,1636,592
"Genesee County, Michigan",283483,79080,1391,4041,116,1390,20451,16259
"Gladwin County, Michigan",23830,68,95,72,0,45,794,482
"Gogebic County, Michigan",12981,65,512,35,3,36,526,222
"Grand Traverse County, Michigan",85543,583,878,813,41,289,4081,3010
"Gratiot County, Michigan",34812,2195,156,161,28,96,1160,3153
"Hillsdale County, Michigan",42145,196,143,176,6,137,1771,1172
"Houghton County, Michigan",33854,280,159,855,21,151,1372,669
"Huron County, Michigan",29508,77,77,150,5,42,708,840
"Ingham County, Michigan",191551,34446,953,16424,110,1451,15543,24422
"Ionia County, Michigan",57617,3210,246,229,5,121,2012,3364
"Iosco County, Michigan",23244,164,124,153,3,56,883,610
"Iron County, Michigan",10823,24,93,41,0,34,410,206
"Isabella County, Michigan",52970,2076,2025,1116,17,182,3002,3006
"Jackson County, Michigan",131097,12385,515,1475,30,473,8207,6184
"Kalamazoo County, Michigan",193428,29686,819,6983,57,1367,14554,14776
"Kalkaska County, Michigan",16523,40,139,60,0,59,763,355
"Kent County, Michigan",465491,62359,1818,21799,175,2331,28773,75228
"Keweenaw County, Michigan",1948,4,1,0,0,5,61,27
"Lake County, Michigan",9360,795,65,45,8,24,604,1195
"Lapeer County, Michigan",78871,966,277,396,8,250,3607,4244
"Leelanau County, Michigan",19781,64,577,106,4,58,794,917
"Lenawee County, Michigan",83126,2437,342,476,8,299,4241,8494
"Livingston County, Michigan",176756,1117,512,1626,113,567,7672,5503
"Luce County, Michigan",4514,12,365,2,0,10,362,74
